id,sku,price
5.68E+13,KD29481,1.69
5.68E+13,HTI1371769,0.89
5.68E+13,KD04735,3.99
5.68E+13,KD32109,0.65
5.68E+13,KD31796,5.75
5.68E+13,KD00823,1.92
5.68E+13,KD16143,0.49
5.68E+13,TY8262,1.75
5.68E+13,KD25591,6.99
5.68E+13,HTI1371943,1.09
5.68E+13,KD31752,2.29
5.68E+13,KD12287,3.59
5.68E+13,KD12303,5.99
5.68E+13,KD12224,0.42
5.68E+13,8006,0.92
5.68E+13,KD33143,1.49
5.68E+13,KD33135,1.49
5.68E+13,KD33149,1.25
5.68E+13,KD15648,7.19
5.68E+13,KD04979,0.74
5.68E+13,KD04978,0.74
5.68E+13,KD05272,1.49
5.68E+13,KD05271,1.49
5.68E+13,KD05270,1.49
5.68E+13,KD05276,0.63
5.68E+13,KD05275,0.63
5.68E+13,KD05242,0.82
5.68E+13,KD05243,0.67
5.68E+13,KD05241,0.55
5.68E+13,KD05269,0.59
5.68E+13,KD05246,0.82
5.68E+13,KD05245,0.67
5.68E+13,KD05244,0.55
5.68E+13,KD05248,0.67
5.68E+13,KD05262,0.67
5.68E+13,KD05277,0.5
5.68E+13,KD05278,0.5
5.68E+13,KD23314,0.59
5.68E+13,KD05264,0.59
5.68E+13,KD05247,0.67
5.68E+13,KD05252,0.55
5.68E+13,KD05251,0.42
5.68E+13,KD05261,0.67
5.68E+13,KD05249,0.82
5.68E+13,KD05250,0.55
5.68E+13,KD05265,0.59
5.68E+13,KD05266,0.59
5.68E+13,KD05274,1.35
5.68E+13,KD05273,1.32
5.68E+13,KD05257,0.67
5.68E+13,KD05255,0.42
5.68E+13,KD05267,0.59
5.68E+13,KD05268,0.59
5.68E+13,KD05263,0.67
5.68E+13,KD05258,0.67
5.68E+13,KD05259,0.55
5.68E+13,KD05260,0.55
5.68E+13,KD05253,0.67
5.68E+13,KD05254,0.67
5.68E+13,KD00817,3.85
5.68E+13,KD33477,1.75
5.68E+13,TY7771,0.56
5.68E+13,KD20394,0.69
5.68E+13,KD32107,0.85
5.68E+13,kd14257,0.69
5.68E+13,KD04985,2.69
5.68E+13,KD13666,0.62
5.68E+13,KD00819,1.25
5.68E+13,9908,0.69
5.68E+13,KD04748,1.35
5.68E+13,KD00805,0.79
5.68E+13,KD16145,3.29
5.68E+13,KD25883,0.69
5.68E+13,KD31836,0.49
5.68E+13,KD18953,3.99
5.68E+13,KD29681,4.79
5.68E+13,KD24214,6.25
5.68E+13,HTI1394513,1.09
5.68E+13,KD25144,1.49
5.68E+13,KD16056,1.79
5.68E+13,KD24216,3.15
5.68E+13,KD30978,0.99
5.68E+13,KD30254,1.19
5.68E+13,KD04722,2.29
5.68E+13,KD32235,1.19
5.68E+13,KD32229,0.89
